Color Name,L,A,B
Strong olive green,31.91010978,-28.07179816,36.8393593
Moderate olive green,36.01149869,-16.84886395,29.97625302
Dark olive green,19.1705734,-16.27975356,22.25034945
Grayish olive green,36.90094605,-5.609886631,9.776334801
Dark grayish olive green,20.48674175,-4.597775164,7.691382518
Vivid yellowish green,76.08477534,-67.12406206,60.11440595
Brilliant yellowish green,79.94329953,-40.99649994,31.74539934
Strong yellowish green,55.25297933,-44.14734909,31.95378058
Deep yellowish green,38.86977394,-40.32402586,34.41102471
Very deep yellowish green,23.49214886,-30.94329049,27.87325598
Very light yellowish green,90.05541092,-20.56056914,15.64591643
Light yellowish green,75.98045597,-22.07556084,16.59458853
Moderate yellowish green,55.87753522,-22.67655475,16.22328339
Dark yellowish green,35.47519406,-24.46316815,15.35929242
Very dark yellowish green,19.32032955,-20.99330356,13.69606438
Vivid green,82.86832292,-61.39319569,20.83587008
Brilliant green,75.55657869,-47.12896829,11.75057644
Strong green,51.02978466,-39.52865562,10.76085429
Very light green,85.38351588,-23.96147695,5.602433165
Light green,65.7899299,-24.95576976,5.619967689
Moderate green,45.32920263,-27.01199303,5.11112097
Dark green,29.30088235,-22.84899055,4.815827355
Very dark green,16.30241568,-15.3164472,2.843610033
Very pale green,85.31272607,-6.586386314,-0.585547712
Pale green,66.68168384,-6.900188067,-0.589485989
Grayish green,46.28089574,-6.622685833,-0.347127992
Dark grayish green,28.9495467,-5.83190016,-1.262492606
Blackish green,16.07617727,-4.718455542,-1.560333244
Greenish white,89.81148326,-0.130097125,-1.69224651
Light greenish gray,76.74924868,-0.819066755,-1.989709448
Greenish gray,56.37829326,-1.473122729,-0.511018207
Dark greenish gray,37.05710428,-1.586646172,-0.549301393
Greenish black,14.67659298,-2.239392519,-0.763161604
Vivid bluish green,89.18528443,-57.76687269,4.848146285
Brilliant bluish green,78.35058882,-41.91934677,-7.283648825
Strong bluish green,53.32007889,-34.63796106,-2.118040249
Very light bluish green,84.94770763,-22.74133329,-6.732124339
Light bluish green,65.35508948,-23.49465198,-7.340593777
Moderate bluish green,46.73653038,-23.49468843,-7.722948738
Dark bluish green,28.71285296,-16.461872,-6.343445779
Very dark bluish green,16.19736606,-11.81125572,-4.316117541
Brilliant greenish blue,70.87859394,-23.81579207,-29.40155669
Strong greenish blue,51.84447969,-14.12954741,-30.37718856
Very light greenish blue,82.1728274,-14.65851295,-18.85468432
Light greenish blue,65.52207019,-13.94950168,-20.42124104
Moderate greenish blue,46.30083228,-13.98641644,-21.42626463
Dark greenish blue,29.10752983,-9.259578729,-17.96747618
Very dark greenish blue,16.44477661,-5.892198824,-13.01630673
Vivid blue,42.44685073,27.21982931,-68.37873606
Brilliant blue,62.80080201,-1.066536457,-47.99700929
Strong blue,45.3984687,7.818256468,-48.62773158
Deep blue,21.92053906,16.61185295,-42.22662706
Very light blue,78.46003666,-2.392726555,-29.81957956
Light blue,66.02843741,-1.233585238,-33.42789988
Moderate blue,42.910456,0.584122668,-34.39015886
Dark blue,21.42791969,3.156142818,-25.45868826
Very pale blue,83.76611737,-0.08577527,-14.58848693
Pale blue,66.09542914,-0.447300281,-14.86090902
Grayish blue,43.23730772,-1.50004689,-15.20494852
Dark grayish blue,26.10729126,-1.051341432,-10.79482389
Blackish blue,14.51741286,0.517787563,-8.872101606
Bluish white,89.95603973,2.956003783,-7.764432656
Light bluish gray,75.09230851,2.353142514,-7.175710297
Bluish gray,56.34674164,1.03786165,-6.909137184
Dark bluish gray,35.73707085,0.972020306,-6.915414167
Bluish black,15.60916379,0.539856339,-5.036588672
Vivid purplish blue,34.94117017,51.86471409,-77.16871234
Brilliant purplish blue,59.60462026,19.87035583,-46.76148819
Strong purplish blue,41.71827716,24.24914496,-49.75368905
Deep purplish blue,20.66242118,23.94264006,-40.99851802
Very light purplish blue,78.77684069,8.930954828,-28.63290983
Light purplish blue,61.55033048,10.70844248,-30.81148567
Moderate purplish blue,35.54801854,15.07798082,-32.06077128
Dark purplish blue,15.23258057,12.08440983,-23.82954679
Very pale purplish blue,81.80219453,6.487364923,-19.65538843
Pale purplish blue,61.41773762,6.65460175,-19.7287551
Grayish purplish blue,33.80762369,7.860230776,-21.19191548
Vivid violet,39.51966499,61.69661214,-70.61011781
Brilliant violet,58.9934016,29.77235424,-44.25014415
Strong violet,35.44322002,34.67462121,-44.89935001
Deep violet,18.07084155,35.98940642,-40.58345712
Very light violet,78.64325332,17.57302157,-28.71936065
Light violet,61.64425075,18.70023808,-29.99131487
Moderate violet,35.46627653,22.03459251,-30.87250302
Dark violet,18.31625349,17.10388607,-22.22693853
Very pale violet,81.8542768,11.33741184,-18.9619337
Pale violet,61.78556739,11.23540519,-17.95028463
Grayish violet,35.47538393,12.46389594,-19.12533713
Vivid purple,49.08826087,71.88923139,-55.82556644
Brilliant purple,67.59465727,39.75922576,-34.29679933
Strong purple,45.72351127,41.48483676,-35.34615873
Deep purple,27.41601955,42.9975777,-34.85290647
Very deep purple,16.38101908,38.22313642,-30.597872
Vivid purple,49.08826087,71.88923139,-55.82556644
Brilliant purple,67.59465727,39.75922576,-34.29679933
Strong purple,45.72351127,41.48483676,-35.34615873
Deep purple,27.41601955,42.9975777,-34.85290647
Very deep purple,16.38101908,38.22313642,-30.597872
Very light purple,80.55148778,25.51234303,-22.91594476
Light purple,66.45796369,25.62502143,-23.44750673
Moderate purple,46.12154329,27.12110088,-24.15871585
Dark purple,28.36092614,22.36781074,-20.043318
Very dark purple,15.37035157,21.40529929,-18.60300944
Very pale purple,84.25527476,13.04880055,-13.08984193
Pale purple,65.17826114,13.30842676,-11.54236942
Grayish purple,45.93444147,13.00232809,-10.20454527
Dark grayish purple,29.15507246,11.45574236,-7.85842178
Blackish purple,15.33000131,9.548656747,-7.471167726
Purplish white,90.16941063,6.912903809,-6.314579163
Light purplish gray,75.79007248,6.981824152,-6.036732843
Purplish gray,56.44242788,6.440713754,-4.92601845
Dark purplish gray,36.21073914,6.593973644,-5.466251011
Purplish black,16.07053878,4.748618375,-5.686243456
Vivid reddish purple,50.79092376,76.20452139,-36.67389864
Strong reddish purple,45.79846501,48.17427684,-23.13003844
Deep reddish purple,28.4637091,47.81610674,-24.68794025
Very deep reddish purple,17.23742284,38.39143451,-21.6165697
Light reddish purple,61.05827159,30.76578537,-14.75393826
Moderate reddish purple,45.96397042,32.81992119,-15.87422362
Dark reddish purple,28.36370441,25.20573999,-13.45520298
Very dark reddish purple,15.67737981,24.77652561,-14.52530281
Pale reddish purple,61.21425584,18.4935984,-9.564156087
Grayish reddish purple,46.0567244,19.45711702,-9.904317232
Brilliant purplish pink,77.25554661,43.71428011,-21.22339361
Strong purplish pink,69.38190346,52.24494859,-18.97394934
Deep purplish pink,60.76219476,53.06142,-13.63778512
Light purplish pink,79.8240744,30.5351041,-10.93059714
Moderate purplish pink,70.69819382,31.95134326,-9.473711648
